"","genes","logFC","logCPM","F","PValue","FDR"
"23599","Son",0.1540657,7.499487,0.7365553,0.4108097,0.8680058
"26873","Vsig10",0.3091097,1.38848,0.7347566,0.411362,0.8685072
"31752","Trim5",-0.2266002,1.479254,0.7344934,0.411443,0.8685072
"909","Cflar",-0.1613155,6.704132,0.7344119,0.411468,0.8685072
"11355","Apobec1",0.2500896,4.267613,0.7342364,0.411522,0.8685072
"30147","Fam171a1",0.1809065,2.301557,0.7339006,0.4116253,0.8685072
"22478","Zfp707",0.1627702,5.170428,0.733694,0.4116889,0.8685072
"13551","Abcg3",-0.3893607,1.514926,0.7335873,0.4117217,0.8685072
"25230","Pom121",0.2554166,3.959897,0.7332412,0.4118283,0.8685072
"34297","Abcc2",0.2982725,9.122609,0.7332233,0.4118338,0.8685072
"23759","Itpa-ps1",-0.3969901,0.379615,0.7329689,0.4119122,0.8685072
"2301","Rasl2-9",0.4461805,0.1500459,0.7327581,0.4119771,0.8685072
"11854","Plekha4",0.2591817,1.294923,0.7320842,0.4121849,0.8685072
"3614","Fastk",0.1451688,5.567507,0.7319685,0.4122205,0.8685072
"13768","Xndc1",-0.3387481,0.6138073,0.7319172,0.4122363,0.8685072
"25470","Mars2",0.2221945,2.645298,0.7318913,0.4122443,0.8685072
